item-id,length,width,height,attribute
"6229101003T",500,300,1200,"product"
"6231003001",440,410,1660,"product"
"6231001001",600,300,1600,"product"
"6231901005",600,350,1600,"product"
"6231004001",450,400,1000,"product"
"6233901101",780,370,1450,"product"
"6233903101",460,460,1360,"product"
"6233904101",780,450,1340,"product"
"6233905101",760,450,1400,"product"
"6234001101",780,450,1340,"product"
"6234201101",340,320,1100,"product"
"6236601103T",530,320,1440,"product"
"6236601103",510,330,1450,"product"
"6234301101",500,380,1200,"product"
"6240301103",1240,200,1520,"product"
"8220102001",300,300,1820,"product"
"8230101001",350,200,900,"product"
"9226401101",780,700,750,"product"
"A0085802",120,120,1200,"product"
"A5232100",400,400,120,"product"
"A5232800",400,400,120,"product"
"A7502414",500,500,2450,"product"
"A7502514",500,500,2450,"product"
"A9898609",830,400,1100,"product"
"A9898600R",830,420,1130,"product"
"A9902000",910,910,180,"product"
"A9902000OBDC",910,910,180,"product"
"A9898600B",830,420,1130,"product"
"A9902000N",910,910,180,"product"
"A9898600",830,420,1130,"product"
"A9898600N",830,420,1130,"product"
"A9902000T",910,910,180,"product"
"A9902000B",910,910,180,"product"
"A9988909",820,320,1100,"product"
"A9902000R",910,910,180,"product"
"A9988900N",830,420,1130,"product"
"A9898608",830,420,1130,"product"
"A9988900R",830,420,1130,"product"
"A9988900",830,420,1130,"product"
"A9988908",830,420,1130,"product"
"A9988900B",830,420,1130,"product"
"AA432600",379,827,1660,"product"
"AA002702",1230,1100,440,"product"
"AA539600",379,827,1660,"product"
"AA229101",379,827,1660,"product"
"AA229001",379,827,1660,"product"
"BB00001935",2100,1780,830,"product"
"BB00001937",1890,1890,710,"product"
"BB00001963",2430,1850,800,"product"
"BB00002001",2430,1850,800,"product"
"BB00002002",2000,1700,600,"product"
"BB001813",1850,600,2200,"product"
"BB001814",1600,1450,550,"product"
"BB001840",1600,1350,550,"product"
"BB002063",2030,1200,530,"product"
"BB002064",2030,1200,530,"product"
"BB002067",2010,1220,530,"product"
"BB002065",2030,1200,530,"product"
"BB002062",2030,1200,530,"product"
"BB002107",2450,1860,810,"product"
"BB002109",2500,1400,650,"product"
"BB002112",2000,2000,900,"product"
"BB002110",2480,2470,700,"product"
"BB002108",1520,1300,430,"product"
"BB002114",2400,1900,1140,"product"
"BB002113",2700,1750,530,"product"
"BB002115",2000,900,750,"product"
"BB002129",2000,1900,1500,"product"
"BB002146",1870,1600,850,"product"
"BB002195",2500,1650,1000,"product"
"BB002194",2030,1230,580,"product"
"BB002233",2400,1850,500,"product"
"BB002237",1850,1750,900,"product"
"BB002238",1800,1700,670,"product"
"BB002234",2500,1700,600,"product"
"BB002276",1800,700,450,"product"
"BB002281",2100,800,800,"product"
"BB002280",2050,1780,800,"product"
"BB002295",2420,2310,1130,"product"
"BB002297",2830,2430,660,"product"
"BB002300",2300,2300,700,"product"
"BB002319",2350,2350,750,"product"
"BB002318",1600,1340,600,"product"
"BB002317",1900,1700,650,"product"
"BB002326",2100,1760,800,"product"
"BB002325",2480,1500,850,"product"
"BB002327",2300,2250,1000,"product"
"BB002330",1850,1350,1030,"product"
"BB002331",2750,2750,980,"product"
"BB002329",2130,1510,600,"product"
"BB002351",2130,1510,600,"product"
"BB002346",2430,1530,620,"product"
"BB002354",1900,1700,700,"product"
"BB002359",2280,2240,920,"product"
"BB002362",2080,1640,560,"product"
"BB002365",1800,950,450,"product"
"BB002358",2300,2300,1000,"product"
"BB002360",2080,1640,560,"product"
"BB002368",2430,1530,620,"product"
"BB002369",2350,2250,750,"product"
"BB002366",1500,580,430,"product"
"BB002376",2200,1350,750,"product"
"BB002386",1900,1650,800,"product"
"BB002385",2000,1670,700,"product"
"BB002384",2300,1650,900,"product"
"BB002407",2300,1900,700,"product"
"BB002415",2150,1800,800,"product"
"BB002418",2290,2290,1000,"product"
"BC000009",590,330,1150,"product"
"BC00001337",1050,300,1600,"product"
"BC00001354",1800,830,800,"product"
"BC00001351",1450,1450,650,"product"
"BC00001352",1800,1800,350,"product"
"BC00001353",1650,1650,350,"product"
"BC00001357",1400,1290,500,"product"
"BC001166",650,650,100,"product"
"BC001293",1150,540,200,"product"
"BC001305",700,700,100,"product"
"BC001306",1000,800,400,"product"
"BC001376",2400,950,800,"product"
"BC001365",1620,1000,320,"product"
"BC001379",1820,1230,800,"product"
"BC001373",1800,1250,830,"product"
"BC001378",1000,500,400,"product"
"BC001375",1400,1000,500,"product"
"BC001382",1400,1100,400,"product"
"BC001383",2800,1400,1650,"product"
"BC001381",2600,1800,900,"product"
"BC001393",460,460,10,"product"
"BC001406",1400,1300,550,"product"
"BC001424",750,210,210,"product"
"BC001431",1800,1700,1000,"product"
"BC001435",3700,1700,1100,"product"
"BC001442",210,210,80,"product"
"BC001450",2400,850,400,"product"
"BCDCLRL3",550,550,1800,"product"
"BCDCLRL1",220,220,750,"product"
"BCDCLRL2",400,400,1300,"product"
"BCDCLRL5",3000,2300,1000,"product"
"BD000025A",3200,2000,200,"product"
"BD000026A",3100,2500,100,"product"
"BD001295A",900,700,800,"product"
"BD001297A",1800,1400,670,"product"
"BD001303A",910,760,800,"product"
"BD001437",2500,1290,20,"product"
"BD001436",1430,780,10,"product"
"BD001446A",2100,1750,800,"product"
"BD001456",2000,2000,30,"product"
"BD001456A",2000,2000,30,"product"
"BD001476",2100,1720,810,"product"
"BD001471A",1170,630,490,"product"
"F6034208102",1620,1010,610,"product"
"F603A401101",827,826,1697,"product"
"F603A402101",827,826,1697,"product"
"F603A404101",827,826,1697,"product"
"F603A403101",827,826,1697,"product"
"F603A405101",827,826,1697,"product"
"F603A409101",827,826,1697,"product"
"F603A407101",827,826,1697,"product"
"F603A408101",827,826,1697,"product"
"F603A410101",827,826,1697,"product"
"F603A412101",827,826,1697,"product"
"F603A411101",827,826,1697,"product"
"F6123417002",300,300,1050,"product"
"F6123416002",300,300,1050,"product"
"F6125803001",580,580,470,"product"
"F6125802001",580,580,470,"product"
"F6125801001",580,580,470,"product"
"F6125806001",580,580,470,"product"
"F6125805001",580,580,470,"product"
"F6125804001",580,580,470,"product"
"F6143002001T",670,230,750,"product"
"F6143004001T",200,180,700,"product"
"F6143005001T",200,180,700,"product"
"F6168905001",750,110,660,"product"
"F616B511001",470,470,720,"product"
"F616B511001B",520,520,720,"product"
"F6199829001",200,200,740,"product"
"F6199839001",190,190,770,"product"
"F619C201001",200,200,780,"product"
"F619C202001",200,200,770,"product"
"F619C209001",200,200,770,"product"
"F619C211001",200,200,770,"product"
"F619C205001",200,200,770,"product"
"F619C214001",200,190,870,"product"
"F619C219001",190,190,780,"product"
"G0000102B",2500,1000,600,"product"
"G0000100",608,925,2480,"product"
"G0000102",925,608,2480,"product"
"G0000102N",2500,1000,600,"product"
"G0000400",995,620,1615,"product"
"G0000401R",1620,1000,640,"product"
"G0000102R",2500,1000,600,"product"
"G0000501",1000,650,1620,"product"
"G0000500",620,995,1615,"product"
"G0000401",1620,1000,640,"product"
"G0000501OBDC",1000,650,1620,"product"
"G0025301",320,320,630,"product"
"G0025701",310,310,610,"product"
"G0027201B",310,310,610,"product"
"G0027201",310,310,610,"product"
"G0059101",220,220,780,"product"
"G0059201",200,190,770,"product"
"G0074401",310,310,610,"product"
"G0074301",310,310,610,"product"
"G0087301",300,300,1050,"product"
"G0087601",300,300,1050,"product"
"G0087501",300,300,1050,"product"
"G0101101",690,230,1050,"product"
"G0101001",690,230,1050,"product"
"G0101601T",680,230,1050,"product"
"G0101601",680,230,1050,"product"
"G0130801",200,180,1090,"product"
"G0131001",200,190,1090,"product"
"G0130901",200,170,1090,"product"
"G0131101T",180,180,1170,"product"
"G0131601",200,190,780,"product"
"G0132201",200,190,750,"product"
"G0131901",190,190,770,"product"
"G0137701",670,510,1900,"product"
"G0137801",650,510,1950,"product"
"G0137801T",660,520,1910,"product"
"G0149801T",730,110,660,"product"
"G0150001",730,120,660,"product"
"G0185101",200,200,1650,"product"
"G0185101T",200,200,1650,"product"
"G0193703",690,690,690,"product"
"G0193703T",700,700,670,"product"
"G0193704",280,280,280,"product"
"G0193902",700,700,680,"product"
"G0195202",610,290,1550,"product"
"G0195304",340,220,880,"product"
"G0194904",620,420,1600,"product"
"G0218104",500,500,1390,"product"
"G0239104",700,700,660,"product"
"G0251603",570,450,790,"product"
"G0244901",827,826,1697,"product"
"G0244704",500,490,1380,"product"
"G0251302",700,690,680,"product"
"G0244704T",500,500,1360,"product"
"G0259601",320,320,630,"product"
"G0259701",320,320,630,"product"
"G0263601",450,80,500,"product"
"G0269602",450,400,1660,"product"
"G0269802",450,400,1660,"product"
"G0269602T",450,400,1640,"product"
"G0287701",480,80,490,"product"
"G0288101",500,500,90,"product"
"G0288201",500,500,90,"product"
"G0289701",280,240,1000,"product"
"G0292003",500,400,1650,"product"
"G0292103",500,500,1450,"product"
"G0292004",460,460,1670,"product"
"G0292104",500,500,1400,"product"
"G0292301",330,260,1240,"product"
"G0292201",320,260,1240,"product"
"G0293501",190,190,770,"product"
"G0293601",200,200,780,"product"
"G0293801",150,150,760,"product"
"G0302501",560,320,1210,"product"
"G0322801P",540,300,1140,"product"
"G0322807R",540,330,1130,"product"
"G0322807",330,540,1130,"product"
"G0322803",330,540,1140,"product"
"G0323101",200,190,1090,"product"
"G0332401",700,700,600,"product"
"G0332402",690,690,670,"product"
"G0334801",430,410,1620,"product"
"G0336703",450,450,1280,"product"
"G0343401",200,200,1300,"product"
"G0346901",650,300,1830,"product"
"G0347001",809,418,2143,"product"
"G0347101",475,300,1735,"product"
"G0347201",880,400,2090,"product"
"G0347301",650,300,1830,"product"
"G0347401",800,800,650,"product"
"G0347501",650,300,1840,"product"
"G0347502",850,850,710,"product"
"G0347601",510,289,1268,"product"
"G0347801",850,400,2100,"product"
"G0347702",360,360,1640,"product"
"G0347701",370,370,1640,"product"
"G0348101",810,390,2090,"product"
"G0348201",520,300,1270,"product"
"G0348701",840,840,693,"product"
"G0348501",680,320,1730,"product"
"G0348601",490,490,1280,"product"
"G0348901",650,300,1740,"product"
"G0349201",830,420,210,"product"
"G0349401P",700,300,1700,"product"
"G0349301",830,400,2090,"product"
"G0349501",809,418,2143,"product"
"G0349401",630,300,1730,"product"
"G0349601",750,300,1820,"product"
"G0349701",900,430,2160,"product"
"G0349801",900,390,2190,"product"
"G0349802",820,820,690,"product"
"G0349901",370,370,1640,"product"
"G0350001",470,380,1350,"product"
"G0350101",350,240,1100,"product"
"G0350402",690,690,690,"product"
"G0350401",700,690,600,"product"
"G0351101",475,300,1735,"product"
"G0350501",370,370,350,"product"
"G0351001",350,240,1100,"product"
"G0351201",730,300,1820,"product"
"G0351501",650,300,1840,"product"
"G0351601",600,395,2188,"product"
"G0351701",840,840,693,"product"
"G0351801",510,289,1268,"product"
"G0351801T",550,300,1300,"product"
"G0352401",1200,10,640,"product"
"G0358601",500,500,720,"product"
"G0359401",520,320,1570,"product"
"G0359501",900,10,1000,"product"
"G0427701",770,440,1370,"product"
"G0427601",770,440,1370,"product"
"G0439701P",540,330,1140,"product"
"G0438801",190,180,760,"product"
"G0439801",340,200,880,"product"
"G0463201T",827,826,1697,"product"
"G0463301",827,826,1697,"product"
"G0463301T",827,826,1697,"product"
"G0463201",827,826,1697,"product"
"G0463401",827,826,1697,"product"
"G0471604",710,440,1350,"product"
"G0471703",450,760,1400,"product"
"G0471704",500,770,1360,"product"
"G0471706N",760,480,1380,"product"
"G0471706B",760,480,1380,"product"
"G0471706T",760,480,1380,"product"
"G0471706R",760,480,1380,"product"
"G0471706",770,500,1360,"product"
"G0471708",500,770,1360,"product"
"G0472005",500,770,1360,"product"
"G0472006",770,500,1360,"product"
"G0472006R",770,480,1380,"product"
"G0472006B",770,480,1380,"product"
"G0472006N",770,480,1380,"product"
"G0472006T",770,480,1380,"product"
"G0472008",770,500,1360,"product"
"G0472004",500,780,1350,"product"
"G0472902",500,500,1130,"product"
"G0475201",200,190,1090,"product"
"G0475301",170,170,1100,"product"
"G0475301T",90,80,180,"product"
"G0480701",740,120,660,"product"
"G0493601",380,380,1200,"product"
"G0493501",360,360,1200,"product"
"G0493601T",1150,830,1250,"product"
"G0503101",620,370,1600,"product"
"G0503301",1650,500,400,"product"
"G0503301T",510,510,1650,"product"
"G0503501",450,400,1650,"product"
"G0505201",780,470,1350,"product"
"G0505401",1220,190,1490,"product"
"G0505201T",780,470,1350,"product"
"G0505301",350,200,900,"product"
"G0510702",400,400,1180,"product"
"G0512602",450,400,1050,"product"
"G0513602",500,500,1630,"product"
"G0514203",136,96,74,"product"
"G0513903",490,250,1410,"product"
"G0513802",500,400,1630,"product"
"G0514603",440,380,1650,"product"
"G0515104",510,320,1580,"product"
"G0520601",820,820,1710,"product"
"G0520901",1001,627,1633,"product"
"G0520801",1001,627,1633,"product"
"G0521101",1001,627,1633,"product"
"G0521001",1001,627,1633,"product"
"G0517201",750,750,1,"product"
"G0521501",900,620,1630,"product"
"G0521201",1001,627,1633,"product"
"G0520701",1001,627,1633,"product"
"G0521801",1001,627,1633,"product"
"G0521401",1001,627,1633,"product"
"G0521301",1001,627,1633,"product"
"G0521701",1001,627,1633,"product"
"G0522001",1001,627,1633,"product"
"G0521601",995,620,1615,"product"
"G0521901",1001,627,1633,"product"
"G0522201",1001,627,1633,"product"
"G0526801",310,310,1060,"product"
"G0522101",1001,627,1633,"product"
"G0522301",1001,627,1633,"product"
"G0526701",300,300,1050,"product"
"G0527001",300,300,1050,"product"
"G0527201",300,300,1060,"product"
"G0526901",310,310,1070,"product"
"G0527101",310,310,1060,"product"
"G0528701",690,690,670,"product"
"G0528701T",700,700,670,"product"
"G0529101",610,350,1620,"product"
"G0529101T",630,350,1600,"product"
"G0529501",600,600,480,"product"
"G0529301T",500,500,1650,"product"
"G0529301",500,400,1630,"product"
"G0529201",340,220,810,"product"
"G0529601",600,600,480,"product"
"G0529801",600,600,480,"product"
"G0529901",600,600,480,"product"
"G0530001T",550,550,4500,"product"
"G0529701",550,500,450,"product"
"G0530001",580,580,450,"product"
"G0540801",220,220,1650,"product"
"G0545201",380,380,1260,"product"
"G0545301",300,300,1050,"product"
"G0545501",250,250,1040,"product"
"G0549401",600,600,480,"product"
"G0549701",600,590,480,"product"
"G0549801",600,600,480,"product"
"G0549501",600,600,480,"product"
"G0549901",580,580,480,"product"
"G0552001",510,510,1110,"product"
"G0552005",530,510,1100,"product"
"G0552007",510,530,1220,"product"
"G0552008",530,510,1220,"product"
"G0552008N",550,500,1230,"product"
"G0552008B",550,500,1230,"product"
"G0552008R",550,500,1230,"product"
"G0552008OB",500,500,1230,"product"
"G0552008T",550,500,1230,"product"
"G0561201",500,290,1200,"product"
"G0564101",170,170,1100,"product"
"G0563901",190,190,1100,"product"
"G0564201",200,200,840,"product"
"G0566801",750,10,750,"product"
"G0564301",200,190,1090,"product"
"G0566701",750,10,750,"product"
"G0567503",500,780,1350,"product"
"G0567504",770,440,1360,"product"
"G0567505N",780,500,1360,"product"
"G0567507",770,500,1360,"product"
"G0567501",460,290,1410,"product"
"G0567505",770,500,1360,"product"
"G0569701",580,360,1220,"product"
"G0567505T",770,500,1360,"product"
"G0572601",220,220,1200,"product"
"G0572903",510,510,1380,"product"
"G0580701",320,70,510,"product"
"G0581101",380,380,1320,"product"
"G0580901",360,360,1280,"product"
"G0581301",370,370,1060,"product"
"G0580801",370,360,1060,"product"
"G0581001",320,320,1040,"product"
"G0582101",450,400,1660,"product"
"G0625201",200,200,810,"product"
"G0625401",200,200,760,"product"
"G0625601",200,200,760,"product"
"G0625801",520,320,1580,"product"
"G0625801T",570,330,1570,"product"
"G0627701",550,320,1200,"product"
"G0627703",550,320,210,"product"
"G0626201",750,10,750,"product"
"G0630101",480,480,180,"product"
"G0627701T",590,320,1200,"product"
"G0627901",230,230,10,"product"
"G0630401",490,490,1050,"product"
"G0630601",500,200,1480,"product"
"G0630501",500,200,1480,"product"
"G0634501",600,590,480,"product"
"G0645301",700,700,600,"product"
"G0645201",320,320,340,"product"
"G0645302",700,700,680,"product"
"G0645302T",700,700,670,"product"
"G0645701",180,180,570,"product"
"G0645501",400,400,1050,"product"
"G0645601",750,10,750,"product"
"G0650901",670,670,670,"product"
"G0651101",360,360,360,"product"
"G0651201",780,410,2190,"product"
"G0650801",360,360,360,"product"
"G0651201T",700,700,670,"product"
"G0651301",750,750,10,"product"
"G0651401",550,450,750,"product"
"G0651401T",570,450,750,"product"
"G0651501",250,150,580,"product"
"G0653601",190,190,770,"product"
"G0653901",190,190,770,"product"
"G0653301",190,190,770,"product"
"G0658601",730,120,660,"product"
"G0661201",470,380,1350,"product"
"G0664701",680,230,1050,"product"
"G0663701",680,230,1050,"product"
"G0664901",680,230,1050,"product"
"G0665301",1050,700,230,"product"
"G0665501",1050,670,220,"product"
"G0668501",230,230,1230,"product"
"G0668901",550,450,750,"product"
"G0665701",670,220,1050,"product"
"G0674801",960,590,10,"product"
"G0679801",370,370,1200,"product"
"G0697501",370,370,350,"product"
"G0697601",820,660,10,"product"
"G0707301",290,290,1050,"product"
"G0707501",280,280,1050,"product"
"G0707401",300,300,1050,"product"
"G0707601",320,320,1060,"product"
"G0707701",290,290,1050,"product"
"G0708601",140,140,730,"product"
"G0708801",200,200,760,"product"
"G0707801",320,320,1070,"product"
"G0708701",200,200,760,"product"
"G0708901",200,200,760,"product"
"G0709101",180,180,770,"product"
"G0709001",200,190,770,"product"
"G0709401",200,185,790,"product"
"G0709301",200,190,770,"product"
"G0709501",200,185,790,"product"
"G0710701",990,600,10,"product"
"G0709201",200,200,760,"product"
"G0709101T",180,180,770,"product"
"G0711001",1000,600,1,"product"
"G0710901",990,590,2,"product"
"G0712101P",550,300,1130,"product"
"G0714701",200,180,780,"product"
"G0714901",200,200,760,"product"
"G0714801",200,200,760,"product"
"G0716401",520,420,1340,"product"
"G0716601",360,360,10,"product"
"G0716501",430,160,80,"product"
"G0722401",100,100,1320,"product"
"G0723001",660,120,720,"product"
"G0723101",660,120,740,"product"
"G0723201",660,120,740,"product"
"G0723301",660,120,740,"product"
"G0735201",470,470,480,"product"
"G0736001",730,340,1760,"product"
"G0735401",1110,450,230,"product"
"G0735901",670,310,1730,"product"
"G0736401",80,80,1650,"product"
"G0736501",90,90,1640,"product"
"G0736801",200,200,760,"product"
"G0736601",70,70,1240,"product"
"G0736901",170,170,760,"product"
"G0738101",300,300,1100,"product"
"G0739501B",1200,800,230,"product"
"G0739501N",1200,800,200,"product"
"G0739501R",1200,800,230,"product"
"G0739507",192,192,736,"product"
"G0739501",1200,800,230,"product"
"G0739508",192,192,736,"product"
"G0739501T",1200,800,230,"product"
"G0742201",680,240,1050,"product"
"G0741901",680,220,1050,"product"
"G0742001",680,230,1050,"product"
"G0739601",320,260,1240,"product"
"G0742401",180,160,340,"product"
"G0747501",650,650,10,"product"
"G0742101",660,210,1050,"product"
"G0747601",350,300,350,"product"
"G0747401",350,230,810,"product"
"G0742601",320,90,780,"product"
"G0747301",750,750,10,"product"
"G0747901",350,350,320,"product"
"G0753201",200,190,1090,"product"
"G0752801",350,220,870,"product"
"G0752901",580,580,1600,"product"
"G0753401",160,150,950,"product"
"G0753301",200,190,1090,"product"
"G0753601",200,200,1090,"product"
"G0753501",200,190,1090,"product"
"G0753701",200,190,1090,"product"
"G0753901",200,190,770,"product"
"G0754101",170,170,1100,"product"
"G0754301",190,190,1100,"product"
"G0754001",200,190,1090,"product"
"G0754401",200,190,1090,"product"
"G0754601",200,190,1100,"product"
"G0754201",1110,200,200,"product"
"G0754501",190,190,1080,"product"
"G0754901",200,190,1090,"product"
"G0754701",200,190,1090,"product"
"G0755001",200,190,1100,"product"
"G0755101",190,190,1100,"product"
"G0762001",180,30,160,"product"
"G0762101",740,130,660,"product"
"G0761901",670,120,740,"product"
"G0762601",650,650,10,"product"
"G0762701",520,400,1550,"product"
"G0762501",240,140,590,"product"
"G0763301",300,300,800,"product"
"G0763501",830,300,300,"product"
"G0762801",250,160,590,"product"
"G0763101",350,200,900,"product"
"G0774401",500,500,1380,"product"
"G0774901",330,200,880,"product"
"G0774801",1620,630,290,"product"
"G0774701",300,300,810,"product"
"G0774501",450,450,1670,"product"
"G0775601",510,510,1400,"product"
"G0775701",450,380,1650,"product"
"G0775801",300,300,830,"product"
"G0776201",700,700,660,"product"
"G0776001",1400,450,1600,"product"
"G0776301",610,290,1610,"product"
"G0776401",610,290,1610,"product"
"G0776601",810,810,1700,"product"
"G0776401T",440,300,1610,"product"
"G0783701",190,180,770,"product"
"G0791401",680,230,1050,"product"
"G0783801",170,170,760,"product"
"G0791301",670,230,1030,"product"
"G0791601",660,230,1050,"product"
"G0791701",680,230,1050,"product"
"G0791501",650,220,1090,"product"
"G0796901",240,240,1580,"product"
"G0796701",250,250,1500,"product"
"G0797001",270,270,1500,"product"
"G0799101",390,230,1480,"product"
"G0797301",270,270,1500,"product"
"G0797601",270,270,1500,"product"
"G0805001",750,750,100,"product"
"G0805401",540,360,1400,"product"
"G0805101",750,750,1,"product"
"G0817301",750,750,1,"product"
"G0817401",750,750,10,"product"
"G0822001",200,190,1100,"product"
"G0822201",200,200,1100,"product"
"G0822301",200,200,1050,"product"
"G0829601",680,120,740,"product"
"G0829501",730,120,660,"product"
"G0829701",320,60,880,"product"
"G0832901",320,160,680,"product"
"G0832401",510,290,1410,"product"
"G0832501",320,170,780,"product"
"G0845201",700,280,1820,"product"
"G0856001",450,450,1680,"product"
"G0856301",60,60,1240,"product"
"G0856401",60,60,1240,"product"
"G0862801",740,740,10,"product"
"G0862904",520,520,1230,"product"
"G0862301",340,200,870,"product"
"G0862904B",520,520,1230,"product"
"G0862901",540,520,1130,"product"
"G0862904T",520,520,1230,"product"
"G0862904R",520,520,1230,"product"
"G0887101",800,200,1200,"product"
"G0887201",750,750,10,"product"
"G0897601",270,150,580,"product"
"G0897701",460,410,1670,"product"
"G0922401",1380,80,80,"product"
"G0922501",80,80,1360,"product"
"G0924401",180,180,750,"product"
"G0924501",180,180,750,"product"
"G0924601",180,180,750,"product"
"G0924701",180,180,750,"product"
"G0924901",740,670,120,"product"
"G0924801",740,670,120,"product"
"G0925901",400,270,1220,"product"
"G0931701",750,750,10,"product"
"G0931801",500,300,1200,"product"
"G0931901",240,140,560,"product"
"G0938601",610,260,150,"product"
"G0940501",410,400,1200,"product"
"G0941001",300,150,520,"product"
"G0940901",280,160,580,"product"
"G0940601",770,750,10,"product"
"G0938501",750,740,5,"product"
"G0945801",130,130,1210,"product"
"G0959301",500,300,1220,"product"
"G0959001T",1250,100,100,"product"
"G0959001B",1250,100,100,"product"
"G0959003",90,90,1260,"product"
"G0959001",80,80,1250,"product"
"G0959001N",1250,100,100,"product"
"G0959201",750,750,10,"product"
"G0959002",80,80,1250,"product"
"G0961701",510,400,1360,"product"
"G0959501",530,520,1120,"product"
"G0961401",510,400,1380,"product"
"G0963101",310,260,1220,"product"
"G0962201",340,200,900,"product"
"G0961701P",510,400,1360,"product"
"G0964102",780,500,1360,"product"
"G0964101",481,484,1346,"product"
"G0963901",340,220,880,"product"
"G0964103",770,500,1360,"product"
"G0964103N",780,500,1360,"product"
"G0964106",500,770,1360,"product"
"G0973501",200,190,780,"product"
"G0973701",200,190,780,"product"
"G0973801",200,190,780,"product"
"G0975701",540,320,1110,"product"
"G0978301",210,210,720,"product"
"G0978801",210,210,720,"product"
"G0978401",210,210,720,"product"
"G0978501",210,210,720,"product"
"G0979801",200,190,780,"product"
"G0978701",210,210,720,"product"
"G0975701R",540,320,1110,"product"
"G0978601",210,210,720,"product"
"G1015901",200,180,780,"product"
"G1016301",200,180,780,"product"
"G1016001",200,180,780,"product"
"G1019101",210,210,820,"product"
"G1016501",200,180,780,"product"
"G1018801",210,210,820,"product"
"G1019401",210,210,820,"product"
"G1019201",210,210,820,"product"
"G1020201",750,750,10,"product"
"G1020801",750,750,10,"product"
"G1020101",750,750,10,"product"
"G1032101",740,740,10,"product"
"G1032201",1000,200,900,"product"
"G1035201",365,365,1320,"product"
"G1032301",250,150,600,"product"
"G1035301",370,370,1340,"product"
"G1035701",370,370,1340,"product"
"G1035501",365,365,1320,"product"
"G1035801",370,370,1340,"product"
"G1035901",365,365,1320,"product"
"G1036201",150,150,1320,"product"
"G1039102",790,500,1850,"product"
"G1039501",570,250,150,"product"
"G1042101",1250,150,1520,"product"
"G1039101",780,460,1850,"product"
"G1043301",450,300,1800,"product"
"G1043501",340,470,1800,"product"
"G1043301B",450,300,1800,"product"
"G1043301T",450,300,1800,"product"
"G1043301R",450,300,1800,"product"
"G1043504N",500,350,1850,"product"
"G1043504",470,340,1800,"product"
"G1043504B",500,350,1850,"product"
"G1043504R",500,350,1850,"product"
"G1043504T",500,350,1850,"product"
"G1043701R",700,700,850,"product"
"G1043701B",700,700,850,"product"
"G1043701T",700,700,850,"product"
"G1043801B",700,700,850,"product"
"G1044001",690,690,840,"product"
"G1044001B",690,690,850,"product"
"G1043701",700,700,850,"product"
"G1043801R",870,720,720,"product"
"G1043801T",700,700,850,"product"
"G1043801",700,700,850,"product"
"G1043901",690,690,840,"product"
"G1044001R",690,690,850,"product"
"G1044001T",690,690,850,"product"
"G1044101",700,700,860,"product"
"G1044201",690,690,850,"product"
"G1046601",620,995,1615,"product"
"G1046701",620,995,1615,"product"
"G1046901",620,995,1615,"product"
"G1047001",620,995,1615,"product"
"G1047301",1000,650,1620,"product"
"G1047101",620,995,1615,"product"
"G1047201",1000,620,1650,"product"
"G1047401",620,995,1615,"product"
"G1047501",620,995,1615,"product"
